127.0.0.1 - - [13/Feb/2025:09:03:28 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [13/Feb/2025:09:03:57 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 1383
172.10.14.144 - - [13/Feb/2025:09:03:57 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1472
172.10.14.144 - - [13/Feb/2025:09:03:58 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1433
172.10.14.144 - - [13/Feb/2025:09:03:58 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [13/Feb/2025:09:05:10 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 1383
172.10.14.144 - - [13/Feb/2025:09:05:10 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1472
172.10.14.144 - - [13/Feb/2025:09:05:10 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1433
172.10.14.144 - - [13/Feb/2025:09:05:10 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [13/Feb/2025:09:05:12 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:05:13 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1756
172.10.14.144 - - [13/Feb/2025:09:05:13 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:05:20 +0900] "POST /edupack_egov/edu/deleteCart.do HTTP/1.1" 200 209
172.10.14.144 - - [13/Feb/2025:09:06:58 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:06:58 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:06:58 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:06:58 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:07:01 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:07:01 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1756
172.10.14.144 - - [13/Feb/2025:09:07:01 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:07:07 +0900] "POST /edupack_egov/edu/deleteCart.do HTTP/1.1" 200 209
172.10.14.144 - - [13/Feb/2025:09:07:45 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:07:45 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:07:45 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:07:46 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:07:48 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:07:49 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1756
172.10.14.144 - - [13/Feb/2025:09:07:49 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:07:54 +0900] "POST /edupack_egov/edu/deleteCart.do HTTP/1.1" 200 209
172.10.14.144 - - [13/Feb/2025:09:09:03 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1240
172.10.14.144 - - [13/Feb/2025:09:09:04 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1190
172.10.14.144 - - [13/Feb/2025:09:09:04 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 912
172.10.14.144 - - [13/Feb/2025:09:09:16 +0900] "POST /edupack_egov/edu/edtCartNum.do HTTP/1.1" 200 209
172.10.14.144 - - [13/Feb/2025:09:09:53 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:09:54 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:09:54 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:09:54 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:09:56 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:09:57 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:09:57 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:10:08 +0900] "POST /edupack_egov/edu/edtCartNum.do HTTP/1.1" 200 209
172.10.14.144 - - [13/Feb/2025:09:15:52 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:15:52 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:15:52 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:15:52 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:15:54 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:15:55 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:15:55 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:17:11 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:17:12 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:17:12 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:17:12 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:17:14 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:17:15 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:17:15 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:18:17 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:18:18 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:18:18 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:18:18 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:18:25 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:18:26 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:18:26 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:19:17 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:19:17 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:19:17 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:19:17 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:19:20 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:19:21 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:19:21 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:28:46 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:28:46 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:28:46 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:28:46 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:28:55 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [13/Feb/2025:09:28:56 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 1485
172.10.14.144 - - [13/Feb/2025:09:28:56 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [13/Feb/2025:09:29:11 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 5818
172.10.14.144 - - [13/Feb/2025:09:29:11 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4325
172.10.14.144 - - [13/Feb/2025:09:29:11 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 9121
172.10.14.144 - - [13/Feb/2025:09:29:11 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [13/Feb/2025:09:29:19 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
