127.0.0.1 - - [12/Feb/2025:08:58:03 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [12/Feb/2025:08:58:28 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 875
172.10.14.144 - - [12/Feb/2025:08:58:28 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1106
172.10.14.144 - - [12/Feb/2025:08:58:28 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1293
172.10.14.144 - - [12/Feb/2025:08:58:28 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [12/Feb/2025:09:21:35 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 875
172.10.14.144 - - [12/Feb/2025:09:21:36 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1106
172.10.14.144 - - [12/Feb/2025:09:21:36 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1293
172.10.14.144 - - [12/Feb/2025:09:21:36 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [12/Feb/2025:09:21:38 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [12/Feb/2025:09:21:39 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 909
172.10.14.144 - - [12/Feb/2025:09:21:39 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 1062
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/SmartEditor2.html HTTP/1.1" 200 4392
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/js/service/HuskyEZCreator.js HTTP/1.1" 200 4680
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/SmartEditor2Skin.html HTTP/1.1" 200 105878
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/js/lib/jindo2.all.js HTTP/1.1" 200 114933
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/css/ko_KR/smart_editor2.css HTTP/1.1" 200 21102
172.10.14.144 - - [12/Feb/2025:09:24:10 +0900] "GET /edupack_egov/smartEditor/js/lib/jindo_component.js HTTP/1.1" 200 72471
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js/service/SE2M_Configuration.js HTTP/1.1" 200 2518
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js/service/SE2BasicCreator.js HTTP/1.1" 200 6989
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/husky_framework/HuskyCore.js HTTP/1.1" 200 15539
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/husky_framework/HuskyRange.js HTTP/1.1" 200 77456
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/husky_framework/hp_HuskyRangeManager.js HTTP/1.1" 200 1959
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/common/base/hp_SE2M_Toolbar.js HTTP/1.1" 200 18308
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_EditingAreaManager.js HTTP/1.1" 200 27922
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_EditingArea_WYSIWYG.js HTTP/1.1" 200 52891
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/husky_framework/hp_CorePlugin.js HTTP/1.1" 200 8240
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_EditingArea_TEXT.js HTTP/1.1" 200 9585
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_EditingAreaVerticalResizer.js HTTP/1.1" 200 7223
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_EditingArea_HTMLSrc.js HTTP/1.1" 200 7816
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_WYSIWYGEnterKey.js HTTP/1.1" 200 25493
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE_PasteHandler.js HTTP/1.1" 200 6348
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/base/hp_SE2M_ExecCommand.js HTTP/1.1" 200 32635
172.10.14.144 - - [12/Feb/2025:09:24:11 +0900] "GET /edupack_egov/smartEditor/js_src/fundamental/editing/hp_SE2M_EditingModeChanger.js HTTP/1.1" 200 6837
