127.0.0.1 - - [25/Feb/2025:08:46:48 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [25/Feb/2025:09:00:24 +0900] "GET /edupack_egov/tobe_shop/launch.html?screenid=Desktop_screen HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/environment.xml.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme_chrome.css HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/Base/user_form.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_left.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/seller_main.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_MDI.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_Left.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_shopMain.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_footer.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/bell.png HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_imgScroll.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/loading.gif HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/2.png HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/3.png HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/1.png HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:26 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 2457
172.10.14.144 - - [25/Feb/2025:09:00:26 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1750
172.10.14.144 - - [25/Feb/2025:09:00:26 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1446
172.10.14.144 - - [25/Feb/2025:09:00:26 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 301
172.10.14.144 - - [25/Feb/2025:09:00:28 +0900] "GET /edupack_egov/tobe_shop/form/Form_Login.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [25/Feb/2025:09:00:30 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1297
172.10.14.144 - - [25/Feb/2025:09:00:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Normal.png HTTP/1.1" 200 988
172.10.14.144 - - [25/Feb/2025:09:00:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Min.png HTTP/1.1" 200 970
172.10.14.144 - - [25/Feb/2025:09:00:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Max.png HTTP/1.1" 200 978
