127.0.0.1 - - [20/Feb/2025:09:05:42 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [20/Feb/2025:09:12:28 +0900] "GET /edupack_egov/tobe_shop/start.json HTTP/1.1" 200 2211
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/environment.xml.js HTTP/1.1" 200 5765
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 200 24885
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 200 13067
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/Base/user_form.xfdl.js HTTP/1.1" 200 8827
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_MDI.xfdl.js HTTP/1.1" 200 4215
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_left.xfdl.js HTTP/1.1" 200 4051
172.10.14.144 - - [20/Feb/2025:09:12:29 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/seller_main.xfdl.js HTTP/1.1" 200 1543
172.10.14.144 - - [20/Feb/2025:09:12:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme_runtime.css HTTP/1.1" 200 41288
172.10.14.144 - - [20/Feb/2025:09:12:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 160346
172.10.14.144 - - [20/Feb/2025:09:12:30 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 200 24885
172.10.14.144 - - [20/Feb/2025:09:12:30 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/titlebar_icon.png HTTP/1.1" 304 -
