127.0.0.1 - - [17/Jan/2025:09:45:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jan/2025:09:55:34 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:01:16 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:23:00 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:23:28 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:23:29 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:24:58 +0900] "GET /edupack_egov/external/PostPopWeb.html HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:25:09 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:26:16 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:36:37 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:36:41 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:37:19 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:37:21 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:38:11 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:38:13 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:38:27 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:40:43 +0900] "GET /edupack_egov/edu/selectMember.do HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:41:09 +0900] "POST /edupack_egov/edu/saveMemberAll.do HTTP/1.1" 200 209
