127.0.0.1 - - [27/Feb/2025:07:38:32 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /edupack_egov/tobe_shop/launch.html?screenid=Desktop_screen HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /edupack_egov/tobe_shop/environment.xml.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme_chrome.css HTTP/1.1" 200 53072
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 162371
172.10.14.144 - - [27/Feb/2025:07:47:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/Base/user_form.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/seller_main.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_left.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_MDI.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/form/Form_Left.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/form/Form_shopMain.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/form/Form_footer.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/logoKu.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/form/Form_imgScroll.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/2.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/3.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/40.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/5.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/1.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:34 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/JZpE7Z3On_y4XBm1Ur_Q35qJTuhxmk0YNcbwaFlj9ag4MBpH9y_YM6s2V49vVxPppoGT53wnzrH-Hi43QVX9JQ.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:35 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3632
172.10.14.144 - - [27/Feb/2025:07:47:35 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4317
172.10.14.144 - - [27/Feb/2025:07:47:35 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 2214
172.10.14.144 - - [27/Feb/2025:07:47:35 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 318
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewProducts.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/554X554.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/280.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/8c7795ac31851e543fcd15d12b4a8c2adac240ce1.png HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/cup.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/%EB%96%A1%EB%A9%94.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/c65a67b1a474744c9927e99daac0bb86490d0a76945623c5cbb7db72117d.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/0905403d17d42ae5beb4f902c634a6d6.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/11241779227_l.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/f0e535604e44e1b2a7f8ee06f2bfd473.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/case.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:39 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/1740097408.jpg HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:40 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewOne.xfdl.js HTTP/1.1" 304 -
172.10.14.144 - - [27/Feb/2025:07:47:54 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/cmb_WF_Drop_O.png HTTP/1.1" 200 967
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/launch.html HTTP/1.1" 200 4124
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/framework/Framework.js HTTP/1.1" 200 1345086
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ComComp.js HTTP/1.1" 200 1499633
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/Grid.js HTTP/1.1" 200 640197
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ListView.js HTTP/1.1" 200 496025
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/CompBase.js HTTP/1.1" 200 1463964
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/DeviceAPI.js HTTP/1.1" 200 164206
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/EduCommon.js HTTP/1.1" 200 7429
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtUtil.js HTTP/1.1" 200 60983
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtTransaction.js HTTP/1.1" 200 9994
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtFrame.js HTTP/1.1" 200 17482
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtPopup.js HTTP/1.1" 200 6836
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtMultiLanguage.js HTTP/1.1" 200 4663
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtValidation.js HTTP/1.1" 200 34687
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtFile.js HTTP/1.1" 200 6039
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtGrid.js HTTP/1.1" 200 80688
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtMessage.js HTTP/1.1" 200 3619
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtPivotGrid.js HTTP/1.1" 200 95866
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtExcel.js HTTP/1.1" 200 7896
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/environment.xml.js HTTP/1.1" 200 5818
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtComp.js HTTP/1.1" 200 18438
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/component/ExtJs/ExtrMateChartH5.js HTTP/1.1" 200 14017
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme_chrome.css HTTP/1.1" 200 53072
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 162371
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 200 24890
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/NexacroN_client_license.xml HTTP/1.1" 200 922
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_left.xfdl.js HTTP/1.1" 200 4051
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/seller_main.xfdl.js HTTP/1.1" 200 1543
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/sellerInfo/frame_MDI.xfdl.js HTTP/1.1" 200 4215
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/Base/user_form.xfdl.js HTTP/1.1" 200 8860
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 200 13171
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/background.jpg HTTP/1.1" 200 3853881
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/chk_WF_Box.png HTTP/1.1" 200 1052
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hdec_D.png HTTP/1.1" 200 941
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hinc_D.png HTTP/1.1" 200 945
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vdec_D.png HTTP/1.1" 200 940
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hdec.png HTTP/1.1" 200 948
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vinc_D.png HTTP/1.1" 200 937
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vdec.png HTTP/1.1" 200 940
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hinc.png HTTP/1.1" 200 945
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vinc.png HTTP/1.1" 200 937
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Tabextra.png HTTP/1.1" 200 1019
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Tabnext.png HTTP/1.1" 200 970
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Tabprev.png HTTP/1.1" 200 970
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/logoKu.png HTTP/1.1" 200 64304
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/form/Form_footer.xfdl.js HTTP/1.1" 200 2855
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/form/Form_Left.xfdl.js HTTP/1.1" 200 4561
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/bell.png HTTP/1.1" 200 16977
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/form/Form_shopMain.xfdl.js HTTP/1.1" 200 10423
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/cart.png HTTP/1.1" 200 21694
172.10.14.85 - - [27/Feb/2025:08:18:24 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/like.png HTTP/1.1" 200 31168
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/form/Form_imgScroll.xfdl.js HTTP/1.1" 200 2754
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/sell.png HTTP/1.1" 200 438425
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/pro.png HTTP/1.1" 200 388643
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/random.png HTTP/1.1" 200 132425
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/loading.gif HTTP/1.1" 200 1768236
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3632
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Stepitem_S.png HTTP/1.1" 200 1361
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/1.png HTTP/1.1" 200 45980
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/JZpE7Z3On_y4XBm1Ur_Q35qJTuhxmk0YNcbwaFlj9ag4MBpH9y_YM6s2V49vVxPppoGT53wnzrH-Hi43QVX9JQ.png HTTP/1.1" 200 6448
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Stepitem.png HTTP/1.1" 200 1229
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/2.png HTTP/1.1" 200 313099
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/3.png HTTP/1.1" 200 141129
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/5.png HTTP/1.1" 200 140405
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 4317
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_images_/40.png HTTP/1.1" 200 433295
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 2214
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 318
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/img_WF_Treeitem.png HTTP/1.1" 200 1005
172.10.14.85 - - [27/Feb/2025:08:18:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/img_WF_Treeexpand.png HTTP/1.1" 200 967
172.10.14.85 - - [27/Feb/2025:08:19:24 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewProSale.xfdl.js HTTP/1.1" 200 11005
172.10.14.85 - - [27/Feb/2025:08:19:24 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/0FTIcGBeT_mUayPqg5MC0Q.jpg HTTP/1.1" 200 139341
172.10.14.85 - - [27/Feb/2025:08:19:24 +0900] "GET /edupack_egov/upload_file/nexa_edu/profile_image/B.jpg HTTP/1.1" 200 71751
