127.0.0.1 - - [11/Feb/2025:09:01:29 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [11/Feb/2025:09:02:01 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 875
172.10.14.144 - - [11/Feb/2025:09:02:01 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1106
172.10.14.144 - - [11/Feb/2025:09:02:01 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1293
172.10.14.144 - - [11/Feb/2025:09:02:01 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [11/Feb/2025:09:03:41 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 875
172.10.14.144 - - [11/Feb/2025:09:03:41 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1106
172.10.14.144 - - [11/Feb/2025:09:03:41 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1293
172.10.14.144 - - [11/Feb/2025:09:03:41 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [11/Feb/2025:09:03:44 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [11/Feb/2025:09:03:45 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [11/Feb/2025:09:03:45 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [11/Feb/2025:09:03:47 +0900] "GET /edupack_egov/edu/getBuyData.do HTTP/1.1" 200 665
172.10.14.144 - - [11/Feb/2025:09:03:47 +0900] "GET /edupack_egov/edu/getBuyDetail.do HTTP/1.1" 200 773
172.10.14.144 - - [11/Feb/2025:09:04:47 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [11/Feb/2025:09:04:47 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
